tipo,km,n_clientes,v_kmh,s_min,t_desloc_h,t_servico_h,t_total_h,pct_desloc,folga_h,viavel
VUC,171.77710844151812,25,35,40,4.907917384043375,16.666666666666664,21.57458405071004,22.748607215358348,-13.57458405071004,False
VUC,171.77710844151812,25,35,45,4.907917384043375,18.75,23.657917384043376,20.745348393826216,-15.657917384043376,False
VUC,171.77710844151812,25,35,60,4.907917384043375,25.0,29.907917384043376,16.410094093217847,-21.907917384043376,False
VUC,171.77710844151812,25,40,5,4.294427711037953,2.083333333333333,6.377761044371286,67.33440906864979,1.6222389556287142,True
VUC,171.77710844151812,25,40,10,4.294427711037953,4.166666666666666,8.461094377704619,50.75499124976045,-0.4610943777046188,False
VUC,171.77710844151812,25,40,15,4.294427711037953,6.25,10.544427711037953,40.726987075292165,-2.5444277110379527,False
VUC,171.77710844151812,25,40,20,4.294427711037953,8.333333333333332,12.627761044371285,34.0078316017245,-4.627761044371285,False
VUC,171.77710844151812,25,40,25,4.294427711037953,10.416666666666668,14.71109437770462,29.191762358253694,-6.711094377704621,False
VUC,171.77710844151812,25,40,30,4.294427711037953,12.5,16.794427711037955,25.57055104780669,-8.794427711037955,False
VUC,171.77710844151812,25,40,40,4.294427711037953,16.666666666666664,20.96109437770462,20.4876121144025,-12.961094377704619,False
VUC,171.77710844151812,25,40,45,4.294427711037953,18.75,23.044427711037955,18.635427899912578,-15.044427711037955,False
VUC,171.77710844151812,25,40,60,4.294427711037953,25.0,29.294427711037955,14.65953782541326,-21.294427711037955,False
VUC,171.77710844151812,25,50,5,3.4355421688303625,2.083333333333333,5.518875502163695,62.250764081984556,2.481124497836305,True
VUC,171.77710844151812,25,50,10,3.4355421688303625,4.166666666666666,7.602208835497029,45.191367971750125,0.39779116450297103,True
VUC,171.77710844151812,25,50,15,3.4355421688303625,6.25,9.685542168830363,35.47082970622431,-1.685542168830363,False
VUC,171.77710844151812,25,50,20,3.4355421688303625,8.333333333333332,11.768875502163695,29.191762358253698,-3.768875502163695,False
VUC,171.77710844151812,25,50,25,3.4355421688303625,10.416666666666668,13.85220883549703,24.801403224781023,-5.852208835497031,False
VUC,171.77710844151812,25,50,30,3.4355421688303625,12.5,15.935542168830363,21.558991419508914,-7.935542168830363,False
VUC,171.77710844151812,25,50,40,3.4355421688303625,16.666666666666664,20.102208835497027,17.090371495712393,-12.102208835497027,False
VUC,171.77710844151812,25,50,45,3.4355421688303625,18.75,22.185542168830363,15.485500163512508,-14.185542168830363,False
VUC,171.77710844151812,25,50,60,3.4355421688303625,25.0,28.435542168830363,12.081859204345449,-20.435542168830363,False
VUC,171.77710844151812,25,60,5,2.8629518073586353,2.083333333333333,4.946285140691968,57.88084847365105,3.053714859308032,True
VUC,171.77710844151812,25,60,10,2.8629518073586353,4.166666666666666,7.029618474025302,40.72698707529217,0.9703815259746982,True
VUC,171.77710844151812,25,60,15,2.8629518073586353,6.25,9.112951807358636,31.416294828277536,-1.1129518073586357,False
VUC,171.77710844151812,25,60,20,2.8629518073586353,8.333333333333332,11.196285140691968,25.570551047806696,-3.196285140691968,False
VUC,171.77710844151812,25,60,25,2.8629518073586353,10.416666666666668,13.279618474025304,21.55899141950891,-5.279618474025304,False
VUC,171.77710844151812,25,60,30,2.8629518073586353,12.5,15.362951807358636,18.63542789991258,-7.362951807358636,False
VUC,171.77710844151812,25,60,40,2.8629518073586353,16.666666666666664,19.5296184740253,14.659537825413265,-11.529618474025298,False
VUC,171.77710844151812,25,60,45,2.8629518073586353,18.75,21.612951807358634,13.246463661589607,-13.612951807358634,False
VUC,171.77710844151812,25,60,60,2.8629518073586353,25.0,27.862951807358634,10.275120264187253,-19.862951807358634,False
VUC,171.77710844151812,25,70,5,2.4539586920216876,2.083333333333333,4.53729202535502,54.08421318946686,3.46270797464498,True
VUC,171.77710844151812,25,70,10,2.4539586920216876,4.166666666666666,6.620625358688354,37.065361035741404,1.3793746413116459,True
VUC,171.77710844151812,25,70,15,2.4539586920216876,6.25,8.703958692021688,28.19359304026868,-0.703958692021688,False
VUC,171.77710844151812,25,70,20,2.4539586920216876,8.333333333333332,10.78729202535502,22.748607215358348,-2.78729202535502,False
VUC,171.77710844151812,25,70,25,2.4539586920216876,10.416666666666668,12.870625358688356,19.06635166227673,-4.870625358688356,False
VUC,171.77710844151812,25,70,30,2.4539586920216876,12.5,14.953958692021688,16.410094093217847,-6.953958692021688,False
VUC,171.77710844151812,25,70,40,2.4539586920216876,16.666666666666664,19.12062535868835,12.834092222337366,-11.12062535868835,False
VUC,171.77710844151812,25,70,45,2.4539586920216876,18.75,21.203958692021686,11.573115792500705,-13.203958692021686,False
VUC,171.77710844151812,25,70,60,2.4539586920216876,25.0,27.453958692021686,8.93845117037648,-19.453958692021686,False
VUC,171.77710844151812,25,80,5,2.1472138555189764,2.083333333333333,4.230547188852309,50.75499124976045,3.7694528111476906,True
VUC,171.77710844151812,25,80,10,2.1472138555189764,4.166666666666666,6.313880522185642,34.0078316017245,1.6861194778143576,True
VUC,171.77710844151812,25,80,15,2.1472138555189764,6.25,8.397213855518977,25.57055104780669,-0.39721385551897725,False
VUC,171.77710844151812,25,80,20,2.1472138555189764,8.333333333333332,10.48054718885231,20.4876121144025,-2.4805471888523094,False
VUC,171.77710844151812,25,80,25,2.1472138555189764,10.416666666666668,12.563880522185645,17.09037149571239,-4.563880522185645,False
VUC,171.77710844151812,25,80,30,2.1472138555189764,12.5,14.647213855518977,14.65953782541326,-6.647213855518977,False
VUC,171.77710844151812,25,80,40,2.1472138555189764,16.666666666666664,18.81388052218564,11.412923840921314,-10.813880522185642,False
VUC,171.77710844151812,25,80,45,2.1472138555189764,18.75,20.897213855518977,10.275120264187251,-12.897213855518977,False
VUC,171.77710844151812,25,80,60,2.1472138555189764,25.0,27.147213855518977,7.909518328277551,-19.147213855518977,False
