tempo_s,custo,bound,gap_pct
921.0,848.49061,817.10468,3.6990309179732606
926.0,848.49061,817.14094,3.6947574469916584
930.0,848.49061,817.18219,3.689895872860627
935.0,848.49061,817.25526,3.681284109908998
940.0,848.49061,817.2955,3.6765415706839706
945.0,848.49061,817.33157,3.67229049240744
950.0,848.49061,817.3896,3.6654512888480846
955.0,848.49061,817.40596,3.6635231590836224
961.0,848.49061,817.4718,3.6557634974887843
965.0,848.49061,817.50921,3.6513544917132195
970.0,848.49061,817.54823,3.6467557372261266
976.0,848.49061,817.60708,3.639819891465853
982.0,848.49061,817.65159,3.6345741056580336
985.0,848.49061,817.67195,3.6321745505233007
990.0,848.49061,817.72557,3.625855093434682
996.0,848.49061,817.7625,3.6215026587035424
1001.0,848.49061,817.80001,3.6170818672937237
1005.0,848.49061,817.82151,3.6145479559284643
1012.0,848.49061,817.86398,3.609542597059498
1015.0,848.49061,817.86909,3.608940351148956
1021.0,848.49061,817.89893,3.605423517886662
1025.0,848.49061,817.93379,3.601315045784644
1031.0,848.49061,817.97767,3.5961435094726575
1035.0,848.49061,817.99601,3.593982024149919
1040.0,848.49061,818.03474,3.589417448002152
1045.0,848.49061,818.07126,3.5851133343714783
1050.0,848.49061,818.12084,3.5792700169068348
1055.0,848.49061,818.15414,3.5753454006992444
1060.0,848.49061,818.18996,3.571123786508363
1065.0,848.49061,818.22955,3.5664578539060003
1070.0,848.49061,818.26303,3.5625120235567476
1075.0,848.49061,818.28965,3.55937468771751
1080.0,848.49061,818.33711,3.553781225699115
1085.0,848.49061,818.37128,3.549754074473493
1723.0,848.49061,818.38049,3.548668617558412
1726.0,848.49061,818.38463,3.5481806923001695
1733.0,848.49061,818.41472,3.544634394952227
1736.0,848.49061,818.42701,3.5431859405020347
1741.0,848.49061,818.44974,3.540507065835405
1746.0,848.49061,818.47253,3.537821119788225
1750.0,848.49061,818.49129,3.535610134801598
1755.0,848.49061,818.51962,3.532271264616578
1760.0,848.49061,818.54507,3.529271820698162
1766.0,848.49061,818.57219,3.526075556687654
1770.0,848.49061,818.59397,3.523508645546465
1775.0,848.49061,818.6072,3.5219494061342544
1780.0,848.49061,818.64086,3.517982361643339
1785.0,848.49061,818.67933,3.5134484281446436
1791.0,848.49061,818.69317,3.511817296363473
1795.0,848.49061,818.70917,3.5099315948823495
1802.0,848.49061,818.72641,3.5078997515364327
1808.0,848.49061,818.73234,3.5072008634249854
1810.0,848.49061,818.74472,3.505741801903962
1815.0,848.49061,818.77124,3.502616251698992
1821.0,848.49061,818.78799,3.5006421579609364
1825.0,848.49061,818.80826,3.498253209897035
1831.0,848.49061,818.82172,3.496666863526035
1836.0,848.49061,818.843,3.4941588805561428
1840.0,848.49061,818.85522,3.492718676049923
1848.0,848.49061,818.87031,3.490940223840536
1851.0,848.49061,818.87862,3.4899608376337827
1855.0,848.49061,818.88368,3.489364484540368
1861.0,848.49061,818.90623,3.4867068240154007
1866.0,848.49061,818.91978,3.4851098705735826
1870.0,848.49061,818.92678,3.484284876175582
1875.0,848.49061,818.94004,3.482722101073104
1882.0,848.49061,818.95621,3.480816364013727
1888.0,848.49061,818.97442,3.478670200015524
1891.0,848.49061,818.98059,3.4779430263818645
1898.0,848.49061,819.00141,3.475489257329552
1902.0,848.49061,819.00596,3.474953010970857
1910.0,848.49061,819.01089,3.4743719792019774
1918.0,848.49061,819.01222,3.474215230266366
1926.0,846.9982663,819.0138,3.303957919801472
1931.0,846.9982663,819.02233,3.3029508339148235
1936.0,846.9982663,819.03027,3.3020134057858797
1940.0,846.9982663,819.03027,3.3020134057858797
1945.0,846.9982663,819.04092,3.300756024227523
1952.0,846.9982663,819.06232,3.2982294547112176
1956.0,846.9982663,819.07263,3.2970122149115375
1962.0,846.9982663,819.08823,3.295170416572552
1966.0,846.9982663,819.10541,3.2931420771197333
1972.0,846.9982663,819.11999,3.29142070405675
1975.0,846.9982663,819.12949,3.2902990960939023
1981.0,846.9982663,819.13805,3.28928846828738
1987.0,846.9982663,819.15503,3.287283741633787
1991.0,846.9982663,819.16576,3.2860169149557534
1996.0,846.9982663,819.18111,3.284204632615783
2001.0,846.9982663,819.1908,3.2830605924936815
2005.0,846.9982663,819.19512,3.282550556030575
2010.0,846.9982663,819.21133,3.280636738653969
2019.0,846.9982663,819.22268,3.2792967122983576
2023.0,846.9982663,819.23188,3.278210523534328
2027.0,846.9982663,819.23857,3.277420675400499
2030.0,846.9982663,819.24744,3.276373447755187
2036.0,846.9982663,819.26508,3.2742907988641705
2040.0,846.9982663,819.27246,3.273419486573031
2047.0,846.9982663,819.28236,3.272250653011746
2050.0,846.9982663,819.29167,3.2711514772081656
2057.0,846.9982663,819.30336,3.2697713090938776
2061.0,846.9982663,819.31026,3.2689566675208654
2068.0,846.9982663,819.32896,3.266748870793988
2070.0,846.9982663,819.33825,3.2656520562703233
2076.0,846.9982663,819.34324,3.265062916929836
2082.0,846.9982663,819.35386,3.2638090772913664
2085.0,846.9982663,819.35988,3.263098332034919
2090.0,846.9982663,819.36833,3.2621006912679604
2095.0,846.9982663,819.37905,3.2608350452298853
2101.0,846.9982663,819.39364,3.259112491526944
2106.0,846.9982663,819.4041,3.257877542127855
2111.0,846.9982663,819.41649,3.256414729216312
2117.0,846.9982663,819.43073,3.2547334979119915
2120.0,846.9982663,819.43446,3.25429311920659
2127.0,846.9982663,819.44963,3.2525020883859157
2130.0,846.9982663,819.45548,3.2518114140087926
2136.0,846.9982663,819.46579,3.250594174209113
2141.0,846.9982663,819.47808,3.249143167697176
2146.0,846.9982663,819.49128,3.2475847229488
2152.0,846.9982663,819.49628,3.2469944029683546
2155.0,846.9982663,819.50074,3.2464678375457976
2163.0,846.9982663,819.51359,3.244950715196043
2167.0,846.9982663,819.51924,3.244283653618145
2173.0,846.9982663,819.53413,3.2425256807163727
2175.0,846.9982663,819.53792,3.242078218171197
2181.0,846.9982663,819.55019,3.240629572939176
2186.0,846.9982663,819.55992,3.2394808102572292
2190.0,846.9982663,819.56757,3.238577620687145
2195.0,846.9982663,819.57648,3.237525670482002
2201.0,846.9982663,819.58763,3.2362092569256027
2206.0,846.9982663,819.59653,3.235158487360404
2212.0,846.9982663,819.60173,3.2345445545807467
2216.0,846.9982663,819.60424,3.2342482139505595
2220.0,846.9982663,819.61966,3.23242766713087
2227.0,846.9982663,819.63173,3.231002634698074
2231.0,846.9982663,819.6436,3.22960121506449
2236.0,846.9982663,819.65728,3.227986099597987
2242.0,846.9982663,819.67013,3.226468977248246
2246.0,846.9982663,819.67997,3.225307227526722
2252.0,846.9982663,819.68875,3.2242706256410587
2257.0,846.9982663,819.6948,3.2235563384647237
2265.0,846.9982663,819.70962,3.2218066300426833
2272.0,846.9982663,819.72657,3.219805445308964
2277.0,846.9982663,819.73262,3.219091158132629
2280.0,846.9982663,819.74335,3.217824331454596
2286.0,846.9982663,819.7497,3.2170746250794298
2290.0,846.9982663,819.75902,3.215974268635878
2297.0,846.9982663,819.77139,3.214513817004251
2300.0,846.9982663,819.77436,3.2141631669358652
2306.0,846.9982663,819.78746,3.212616528587096
2312.0,846.9982663,819.79419,3.211821957893422
2315.0,846.9982663,819.79419,3.211821957893422
2324.0,846.9982663,819.80043,3.2110852385578195
2328.0,846.9982663,819.80991,3.2099659918749013
2333.0,846.9982663,819.81269,3.2096377739657695
